-cannish	sfx	-able
-canny,-worth,-ber,-some	sfx	-able
-craft -frod	sfx	-logy,-log,-logue
-dom	sfx	belief
-ed	sfx	-ee
-en -ledge	afx	-ify
-en -ledge	sfx	-ize
-end	sfx	-ee
-fold	sfx	-plex
-hue	sfx	-oid
-ingly	suffix	-ative
-ish	sfx	-ic/-al
-ish	sfx	belief
-less	pfx	non-
-like	sfx	pseudo-
-ling	sfx	-ee
-ling	sfx	-let
-lore	sfx	-logy,-log,-logue
-lore	sfx	-ology
-lust	sfx	-philia
-ly	sfx	-ic/ -ical
-ly	sfx	-ise
-ose	sfx	-sweet
-plast	sfx	-corn
-seer	sfx	-scope
-some	sfx	-ic/ -ical
-some	sfx	-kern
-some	sfx	-lich,-body
-troth	sfx	-ism
-wick	n	district
-worthy -endly/-ingly	sfx	-able
-y	suffix	state of being,characterized by a certain trait
a	adj	single
a-go-go	adj	craziness,faddish,modern,in the newest style,latest,trendy
a-go-go	n	a disco,other place for dancing.
a-licker	n	a sycophant,an arse-licker.
a.s.f.	 abv	etc,etcetera
aa	n	river
aardvark	orycteropus afer	earthpig,earthswine,earthfarrow
aardwolf	proteles cristata	earthwolf
abaft	adj	behind, toward the stern relative to some other object,position, aft of
aban	v	publish,make known,bring out, proclaim,broadcast,abannan
abare	v	disclose,bring to light
abcs,alphabet: futhorc,staffrow	n	alphabet
abdomen	n	belly,bouch (@oe buc)
abear	v	endure,tolerate,to abide,to bear,carry.
abed	v	confine
abendland	n	europe
abgo	encircle,go around/ about	ymbgan
abid	v	require,demand
abide	v	continue,inhabit
abider, indweller, erd-folk	n	inhabitant
abiding	adj	constant
abiding	adj	inveterate
abiding	adj	resistant
abiding, followsome	adj	compliant
abive	v	tremble,quiver
ablative	atbraidingly
ablie	lie around	ymblicgan
abode	n	inhabitance
abode-leave	n	residence
about	adv	approximately
about	adv	practically
about	prep	circa
about	prep	regarding
about umbe	prep/adj
above all	adv	particularly
above all hure sundrily	adv	especially
above board	adj	open,honest: "above the table" said of card-players who keep their hands above the table to avoid the risk of being accused of cheating.
above oneself	adj	over-confident,pushy,usu of one normally more self-effacing.
above,all,hure,sundrily	adv	especially
aboveboard	adj	legal
abow	v	deflect
abraid	v	move quickly
abreast	adj	familiar
abreast	adv	1.informed,well-informed,familiar,acquainted, 2.side by side,facing forward, [first attested in the mid 15th century. from middle english a (“on”) + brest (“breast”),in sense “breasts (chests) in line,side-by-side and exactly equally advanced”,[1] roughly “breast-by-breast”. other senses of “equally advanced” developed metaphorically. phrase keep abreast “keep informed,up to the same level as oneself” is from the 1650s.]
abreet	v	destroy,exterminate
abreethe	v	dilate
abroad	adj	in error,confused,wide of the mark. ,of convicts,lags,transported to a penal colony.
abroaded	adj	living in exile in a place other than the britain. ,transported to a penal colony. 3. imprisoned in a penal colony.
abseil	v	rappel
absolute humidity	outright dampness
absolute zero	outright naught
absolution	forgiveness
abusive adj.	scathing,tawing,cursing	caperlash	cheshire
abutting	adj	contiguous
abwind	envelop	(by winding round)	ymbwinden
acalypha	cat's tail
acanthus mollis	bear's breeches
acaricide	miteslaughter,tickslaugher
acarology	mitelore,ticklore
accelerate	snue (@oe sneówan),quicken (in anglish this does not outrightly mark speeding up,but also slowing down)
acceleration	snuing (see above),quickendom
account	errand,tally
account payable	errand owing
account receivable	errand getting,errand athidge
